incident_id,action
1,error
69,misuse
82,malware
103,hacking
115,physical
184,hacking
228,hacking
362,error
390,hacking
406,error
486,hacking
542,hacking
582,error
594,hacking
594,malware
594,social
598,hacking
598,malware
628,hacking
717,error
740,hacking
754,hacking
771,error
780,hacking
796,hacking
806,hacking
806,social
839,error
854,hacking
869,hacking
869,social
909,hacking
909,malware
909,social
911,physical
953,hacking
975,hacking
978,hacking
992,hacking
1001,error
1054,misuse
1060,error
1070,hacking
1087,error
1152,error
1193,hacking
1193,malware
1221,hacking
1291,hacking
1316,error
1339,physical
1342,physical
1395,hacking
1452,unknown
1480,error
1517,hacking
1526,hacking
1556,hacking
1556,malware
1556,social
1583,hacking
1607,misuse
1621,hacking
1627,error
1654,malware
1670,physical
1682,hacking
1682,malware
1682,social
1688,error
1723,error
1726,error
1726,hacking
1726,misuse
1747,hacking
1766,hacking
1812,hacking
1813,hacking
1837,misuse
1888,error
1915,hacking
1915,malware
1915,social
1956,unknown
1968,malware
1992,hacking
2010,hacking
2010,malware
2010,social
2046,malware
2057,hacking
2089,error
2117,hacking
2124,error
2150,error
2177,hacking
2206,error
2248,hacking
2266,misuse
2292,hacking
2365,misuse
2439,hacking
2476,error
2499,error
2527,misuse
2536,error
2644,error
2654,misuse
2703,hacking
2744,hacking
2747,hacking
2754,hacking
2802,physical
2815,error
2848,hacking
2864,hacking
2916,malware
2920,malware
2929,malware
2948,hacking
2982,hacking
2982,malware
2982,social
3021,hacking
3027,error
3037,hacking
3055,hacking
3073,hacking
3087,error
3106,error
3174,error
3205,hacking
3205,malware
3205,social
3229,hacking
3229,malware
3257,hacking
3308,hacking
3313,error
3401,physical
3413,malware
3444,hacking
3444,malware
3444,social
3496,physical
3507,error
3524,hacking
3554,hacking
3579,hacking
3609,hacking
3638,error
3695,unknown
3716,hacking
3716,malware
3716,social
3746,error
3762,physical
3858,error
3858,hacking
3882,error
3891,hacking
3927,hacking
3949,hacking
4015,error
4015,misuse
4027,error
4030,hacking
4045,error
4096,error
4100,error
4128,hacking
4143,hacking
4143,malware
4143,social
4172,error
4213,physical
4215,misuse
4324,misuse
4408,hacking
4408,malware
4408,social
4455,misuse
4486,malware
4486,social
4508,error
4515,malware
4525,hacking
4530,malware
4584,hacking
4591,misuse
4610,physical
4634,hacking
4702,hacking
4742,malware
4742,unknown
4756,hacking
4789,hacking
4804,hacking
4805,hacking
4811,hacking
4811,malware
4811,social
4829,hacking
4849,hacking
4889,hacking
4889,malware
4889,social
4890,hacking
4890,malware
4890,social
4906,hacking
5006,hacking
5020,hacking
5122,error
5148,hacking
5195,error
5213,error
5265,hacking
5292,social
5305,error
5307,physical
5316,error
5319,error
5453,hacking
5488,hacking
5489,hacking
5489,malware
5504,error
5507,hacking
5522,hacking
5525,error
5575,malware
5576,hacking
5634,social
5656,hacking
5704,misuse
5749,hacking
5768,error
5812,hacking
5812,malware
5812,social
5867,error
5916,physical
5968,hacking
5968,malware
5968,social
6006,error
6021,hacking
6028,hacking
6040,physical
6096,hacking
6167,hacking
6167,malware
6167,social
6174,error
6189,hacking
6224,hacking
6227,malware
6227,social
6232,social
6327,hacking
6341,hacking
6341,social
6389,physical
6398,physical
6432,error
6451,error
6499,hacking
6509,hacking
6532,hacking
6533,hacking
6538,hacking
6577,hacking
6577,malware
6612,hacking
6612,malware
6612,social
6637,error
6677,physical
6714,physical
6733,misuse
6738,error
6738,misuse
6778,hacking
6854,physical
6902,hacking
6973,error
6973,hacking
6983,hacking
7010,hacking
7010,malware
7010,social
7031,hacking
7031,malware
7049,hacking
7049,malware
7049,social
7108,hacking
7120,hacking
7124,hacking
7124,social
7231,social
7231,unknown
7260,hacking
7266,error
7289,misuse
7332,hacking
7332,malware
7332,social
7355,misuse
7364,hacking
7372,hacking
7372,malware
7398,physical
7433,misuse
7433,physical
7449,hacking
7467,error
7495,hacking
7495,social
7517,error
7532,error
7604,hacking
7612,physical
7628,hacking
7628,unknown
7679,error
7733,hacking
7745,hacking
7785,error
7845,hacking
7845,social
7875,hacking
7875,malware
7875,social
7881,hacking
7883,hacking
7919,error
7930,hacking
7930,malware
7930,social
8011,hacking
8017,hacking
8038,hacking
8099,hacking
8117,misuse
8117,social
8123,hacking
8135,hacking
8172,error
8185,hacking
8208,hacking
8263,error
8284,error
8323,hacking
8331,error
8331,social
8347,hacking
8349,misuse
8436,error
8439,error
8446,error
8509,physical
8524,physical
8527,error
8531,malware
8533,misuse
8544,hacking
8546,hacking
8548,physical
8550,hacking
8550,social
8568,hacking
8568,malware
8568,social
8575,misuse
8585,error
8628,hacking
8680,social
8686,error
8698,hacking
8698,malware
8698,social
8703,hacking
8733,hacking
8733,malware
8734,error
8746,hacking
8769,hacking
8814,hacking
8814,malware
8814,physical
8814,social
8835,hacking
8835,malware
8835,social
8853,misuse
8857,hacking
8866,hacking
8895,hacking
8897,error
8918,error
8922,hacking
8922,malware
8922,social
8984,hacking
8985,physical
9012,hacking
9016,error
9137,misuse
9137,social
9156,hacking
9156,malware
9156,social
9174,misuse
9191,error
9267,hacking
9280,malware
9321,hacking
9321,malware
9321,social
9352,hacking
9497,hacking
9504,error
9527,error
9575,hacking
9592,error
9601,malware
9713,hacking
9717,hacking
9717,malware
9717,social
9745,hacking
